Relative Time;m/z 35.00 ch3;37/21
615.786;221.9289069;7.224481433
616.543;225.3382926;7.211908573
617.299;229.760418;7.303551783
618.055;227.978727;7.396050114
618.812;218.7452145;7.28145362
619.571;232.2607687;7.25794773
620.327;228.8409794;7.468212744
621.083;220.5639783;7.008722525
621.84;240.1507037;7.460928804
622.596;230.5465494;7.212177141
623.352;221.5529425;7.046385155
624.109;211.3992334;7.094304837
624.865;225.3760153;6.926451321
625.621;215.9015322;6.838932739
626.379;224.6991956;7.054670822
627.004;222.1768919;7.151036884
627.891;233.9325741;7.215623777
628.649;213.7050605;6.930460224
629.405;219.5186751;7.327654429
630.161;211.1715931;6.612443893
630.918;227.4738167;7.411473463
631.675;217.8223291;7.0593691
632.432;214.3247646;7.064572306
633.188;217.3242178;6.732869875
633.944;218.7762098;6.861727872
634.7;219.6805879;7.001805693
635.457;218.6855807;7.253961613
636.215;221.4737882;7.486219254
636.971;217.7300011;7.345955745
637.728;210.8105714;7.289580291
638.484;218.8552469;7.169504011
639.24;220.1284683;6.96698002
639.996;213.6520745;7.091572517
640.753;220.5377519;7.354953926
641.509;215.804005;6.977078094
642.265;200.3894815;6.763333414
643.022;206.6044431;7.019921956
643.778;213.0440512;6.96462892
644.534;205.5116213;7.209015628
645.291;209.4151719;7.025037126
646.047;211.7347822;7.026693167
646.804;217.2596378;7.604434141
647.56;209.9621325;7.166180578
648.317;205.5973365;7.034181692
649.073;211.331721;7.082065277
649.83;213.1641575;6.983877993
650.586;206.8960472;6.800884473
651.342;207.1267436;6.877496421
652.099;213.7883151;6.73345164
652.855;215.2742245;7.216754864
653.48;209.7970538;7.269577623
654.368;215.8377672;7.258456587
655.124;212.3840589;6.98868963
655.88;209.5384267;7.39803279
656.637;208.8794395;6.94940328
657.393;206.8342701;7.221262159
658.151;205.7658331;7.14225544
658.908;204.1740514;7.250471115
659.664;214.5818099;7.318440741
660.42;206.5900728;7.050802091
661.177;216.5374223;7.25966899
661.933;202.2372665;7.026000941
662.689;198.5070474;7.088963137
663.445;204.9176349;7.17156689
664.202;195.4111925;6.737045529
664.959;207.3039909;7.305822356
665.715;209.4059607;7.349370736
666.472;202.5897285;7.174421586
667.228;207.3988165;7.46979947
667.984;209.3844345;7.361202554
668.74;208.6308798;7.549548791
669.497;199.595755;7.253981998
670.253;197.6991336;6.965985965
671.01;197.9601661;7.280065899
671.766;196.5722811;7.287121127
672.522;201.5147728;7.03787832
673.279;204.1645522;7.315133152
674.036;207.7080717;7.700762043
674.792;190.9354799;6.814069094
675.548;201.3281849;7.01416108
676.305;201.7001771;7.13270731
677.061;201.4462836;7.359953132
677.817;193.2684604;7.072564713
678.574;200.9119398;7.074068363
679.33;207.4890151;7.597820256
680.087;193.8612502;6.595768766
680.843;189.8164393;6.828352019
681.6;191.6358212;7.118298612
682.356;195.3523983;6.624805766
683.113;204.1633656;7.376779043
683.869;203.0979047;7.320319493
684.625;197.0140715;7.100643758
685.382;197.2251128;7.35660689
686.138;197.4036917;7.516485298
686.895;187.6478079;7.074679973
687.651;195.4313737;7.002195559
688.407;190.4643149;7.358853291
689.164;188.6491543;6.817424675
689.92;190.9377101;7.014444736
690.677;188.3352828;7.312366891
691.433;196.0845167;6.96985633
692.189;185.3265202;7.066464174
692.945;196.957473;7.203419674
693.702;186.9618658;7.011874521
694.458;200.6152892;7.509172053
695.215;189.6596452;6.96554428
695.972;191.1421878;7.142883831
696.728;193.6090247;6.999586761
697.484;184.5832556;6.741740877
698.24;189.000692;6.969722965
698.997;192.1387065;6.943258733
699.753;191.9948352;7.090210582
700.509;200.2272886;7.388359824
701.266;192.2102512;7.036903164
702.023;197.5710925;7.281758517
702.78;184.9328902;6.809365144
703.536;186.5602793;6.823708033
704.293;184.1426994;7.171080534
705.049;188.590013;6.805277306
705.806;186.3135464;7.040306208
706.562;189.7901886;7.11415209
707.319;191.1569653;7.355104766
708.075;186.3712795;6.950005654
708.832;183.2217711;7.065997583
709.59;191.2712409;7.473953169
710.346;184.495174;6.902720956
711.103;184.7945367;6.961886496
711.859;194.3465031;7.213867347
712.616;189.5902398;7.071804031
713.372;184.7971548;6.767921736
714.129;184.2337992;6.80743473
714.885;190.181812;7.054221375
715.642;190.5667389;7.013125652
716.398;180.9584297;7.348949443
717.155;185.6720199;7.238540855
717.911;180.189683;7.02624199
718.668;189.1568075;7.111040056
719.425;190.1737663;7.040285397
720.182;193.3710542;7.087890756
720.938;180.5318352;7.082266479
721.695;176.1138234;6.969464145
722.451;174.7888924;6.737923921
